Stock Symbol,Company Name,News Title,Sentiment,URL
,,Carradice Odyssey Saddlebag 26L,Positive,https://road.cc/content/review/carradice-odyssey-saddlebag-26l-314669
,,KBC Group NV Purchases 176 Shares of Toll Brothers Inc. (NYSE:TOL),Positive,https://www.etfdailynews.com/2025/07/05/kbc-group-nv-purchases-176-shares-of-toll-brothers-inc-nysetol/
,,"KBC Group NV Grows Stock Position in Kinsale Capital Group, Inc. (NYSE:KNSL)",Positive,https://www.etfdailynews.com/2025/07/05/kbc-group-nv-grows-stock-position-in-kinsale-capital-group-inc-nyseknsl/
,,Ukraine updates: Kyiv strikes Russian military air base,Neutral,https://www.dw.com/en/ukraine-updates-kyiv-strikes-russian-military-air-base/live-73165671
,,Ukraine hits Russian airfield day after mass wave of strikes,Neutral,https://www.dw.com/en/ukraine-hits-russian-airfield-day-after-mass-wave-of-strikes/live-73165671
,,FTA fuel and China caution: Piyush Goyal eyes $870 bn export ambition for India,Neutral,https://economictimes.indiatimes.com/news/economy/foreign-trade/piyush-goyal-counts-on-ftas-and-resilience-to-drive-indias-exports-past-870-bn-amid-global-headwinds/articleshow/122264175.cms
,,Ukraine says it struck Russian airbase as Russia sent hundreds of drones into Ukraine,Neutral,https://abcnews.go.com/International/wireStory/ukraine-struck-russian-airbase-russia-hundreds-drones-ukraine-123496190
,,"Huawei’s Kirin 9030 For The Upcoming Mate 80 Flagship Smartphone Series Is Rumored To Provide A 20 Percent Performance Improvement, But Lithography Details Not Revealed",Neutral,https://wccftech.com/kirin-9030-for-the-huawei-mate-80-series-rumored-to-be-20-percent-faster/
,,"RBI acts tough against cyber frauds, directs all banks to use DoT’s FRI technology to protect bank customers",Neutral,https://economictimes.indiatimes.com/wealth/save/rbi-acts-tough-against-cyber-frauds-directs-all-banks-to-use-dots-fri-technology-to-protect-bank-customers/articleshow/122263356.cms
,,Ukraine downs 292 Russian drones overnight,Positive,https://biztoc.com/x/131e612645761f11
,,"Financial 'stretch' for UK to join Europe's Starlink rival, says minister",Neutral,https://www.theregister.com/2025/07/05/uk_budget_to_join_iris_not_there/
,,Eagle Materials Inc (NYSE:EXP) Shares Sold by New York State Teachers Retirement System,Positive,https://www.etfdailynews.com/2025/07/05/eagle-materials-inc-nyseexp-shares-sold-by-new-york-state-teachers-retirement-system/
,,Disneyland in Gurgaon: Haryana CM says talks on for India’s first Mickey Mouse & Co park near Manesar,Positive,https://economictimes.indiatimes.com/news/india/disneyland-in-gurgaon-haryana-cm-says-talks-on-for-indias-first-mickey-mouse-co-park-near-manesar/articleshow/122264814.cms
,,"New York State Teachers Retirement System Sells 4,000 Shares of Cullen/Frost Bankers, Inc. (NYSE:CFR)",Positive,https://www.etfdailynews.com/2025/07/05/new-york-state-teachers-retirement-system-sells-4000-shares-of-cullen-frost-bankers-inc-nysecfr/
,,Congregation flees after arsonist sets fire to an Australian synagogue door,Neutral,https://www.nbcnews.com/world/australia/congregation-flees-arsonist-sets-fire-australian-synagogue-door-rcna217014
,,Climate Satellite MethaneSAT Fails After Just One Year in Orbit,Negative,https://www.gadgets360.com/science/news/climate-satellite-methanesat-backed-by-bezos-and-google-fails-after-just-one-year-in-orbit-8820893
,,Roanoke judge appointed to hear Trump lawsuit,Neutral,https://roanoke.com/news/local/crime-courts/article_ede8d406-81a4-4ca8-9541-1a0095db4ca6.html
,,"Umno to conduct study, survey to recapture Bersatu, PAS seats, says Zahid",Neutral,https://www.thestar.com.my/news/nation/2025/07/05/umno-to-conduct-study-survey-to-recapture-bersatu-pas-seats-says-zahid
,,"Forget Tesla’s Semi, Volvo Trucks Are Electrifying Heavy Haulage Now",Negative,https://www.forbes.com/sites/jamesmorris/2025/07/05/forget-teslas-semi-volvo-trucks-are-electrifying-heavy-haulage-now/
,,Amalgamated Bank Has $2.81 Million Stock Holdings in Oshkosh Corporation (NYSE:OSK),Positive,https://www.etfdailynews.com/2025/07/05/amalgamated-bank-has-2-81-million-stock-holdings-in-oshkosh-corporation-nyseosk/
,,"Amalgamated Bank Lowers Stock Holdings in Jabil, Inc. (NYSE:JBL)",Positive,https://www.etfdailynews.com/2025/07/05/amalgamated-bank-lowers-stock-holdings-in-jabil-inc-nysejbl/
,,Amalgamated Bank Sells 968 Shares of Repligen Corporation (NASDAQ:RGEN),Positive,https://www.etfdailynews.com/2025/07/05/amalgamated-bank-sells-968-shares-of-repligen-corporation-nasdaqrgen/
,,"Amalgamated Bank Has $2.95 Million Holdings in Trex Company, Inc. (NYSE:TREX)",Positive,https://www.etfdailynews.com/2025/07/05/amalgamated-bank-has-2-95-million-holdings-in-trex-company-inc-nysetrex/
,,EDF Delays French Offshore Wind Farm Startup by Two Years Amid Construction Challenges,Neutral,https://biztoc.com/x/f7d79efd1b4a3953
,,"Amalgamated Bank Has $3.09 Million Stock Holdings in Prosperity Bancshares, Inc. (NYSE:PB)",Positive,https://www.etfdailynews.com/2025/07/05/amalgamated-bank-has-3-09-million-stock-holdings-in-prosperity-bancshares-inc-nysepb/
,,Amalgamated Bank Has $3.13 Million Holdings in Fabrinet (NYSE:FN),Positive,https://www.etfdailynews.com/2025/07/05/amalgamated-bank-has-3-13-million-holdings-in-fabrinet-nysefn/
,,"Amalgamated Bank Sells 3,553 Shares of Kyndryl Holdings, Inc. (NYSE:KD)",Positive,https://www.etfdailynews.com/2025/07/05/amalgamated-bank-sells-3553-shares-of-kyndryl-holdings-inc-nysekd/
,,Amalgamated Bank Lowers Holdings in Toro Company (The) (NYSE:TTC),Neutral,https://www.etfdailynews.com/2025/07/05/amalgamated-bank-lowers-holdings-in-toro-company-the-nysettc/
,,"Amalgamated Bank Increases Stake in Cheniere Energy, Inc. (NYSE:LNG)",Neutral,https://www.etfdailynews.com/2025/07/05/amalgamated-bank-increases-stake-in-cheniere-energy-inc-nyselng/
,,"Amalgamated Bank Trims Stock Position in Fortune Brands Innovations, Inc. (NYSE:FBIN)",Neutral,https://www.etfdailynews.com/2025/07/05/amalgamated-bank-trims-stock-position-in-fortune-brands-innovations-inc-nysefbin/
,,"Sumitomo Mitsui Trust Group Inc. Has $1.56 Million Stock Position in KBR, Inc. (NYSE:KBR)",Positive,https://www.etfdailynews.com/2025/07/05/sumitomo-mitsui-trust-group-inc-has-1-56-million-stock-position-in-kbr-inc-nysekbr/
,,NSE vs BSE: How the two stock exchanges fared on financial parameters in FY25,Neutral,https://m.economictimes.com/mf/web-stories/nse-vs-bse-how-the-two-stock-exchanges-fared-on-financial-parameters-in-fy25/exchange-dominance/slideshow/122264977.cms
,,"Sumitomo Mitsui Trust Group Inc. Has $1.34 Million Stake in Alexander & Baldwin Holdings, Inc. (NYSE:ALEX)",Positive,https://www.etfdailynews.com/2025/07/05/sumitomo-mitsui-trust-group-inc-has-1-34-million-stake-in-alexander-baldwin-holdings-inc-nysealex/
,,Sumitomo Mitsui Trust Group Inc. Invests $1.36 Million in TD SYNNEX Corporation (NYSE:SNX),Positive,https://www.etfdailynews.com/2025/07/05/sumitomo-mitsui-trust-group-inc-invests-1-36-million-in-td-synnex-corporation-nysesnx/
,,"KBC Group NV Sells 194,196 Shares of Materialise NV (NASDAQ:MTLS)",Positive,https://www.etfdailynews.com/2025/07/05/kbc-group-nv-sells-194196-shares-of-materialise-nv-nasdaqmtls/
,,SiTime Corporation (NASDAQ:SITM) Shares Sold by KBC Group NV,Positive,https://www.etfdailynews.com/2025/07/05/sitime-corporation-nasdaqsitm-shares-sold-by-kbc-group-nv/
,,Flex Ltd. (NASDAQ:FLEX) Position Lessened by KBC Group NV,Positive,https://www.etfdailynews.com/2025/07/05/flex-ltd-nasdaqflex-position-lessened-by-kbc-group-nv/
,,Legend Biotech Corporation Sponsored ADR (NASDAQ:LEGN) Shares Bought by KBC Group NV,Positive,https://www.etfdailynews.com/2025/07/05/legend-biotech-corporation-sponsored-adr-nasdaqlegn-shares-bought-by-kbc-group-nv/
,,Producer Loops All You Need MULTiFORMAT-FANTASTiC,Positive,https://audioz.download/samples/multi-libraries/279322-download_producer-loops-all-you-need-wav-midi-rex-aiff-ableton-template-fantastic.html
,,3D Systems Corporation (NYSE:DDD) Shares Acquired by Sumitomo Mitsui Trust Group Inc.,Positive,https://www.etfdailynews.com/2025/07/05/3d-systems-corporation-nyseddd-shares-acquired-by-sumitomo-mitsui-trust-group-inc/
NOC,Northrop Grumman,Golden State Wealth Management LLC Acquires 134 Shares of Northrop Grumman Corporation (NYSE:NOC),Positive,https://www.etfdailynews.com/2025/07/05/golden-state-wealth-management-llc-acquires-134-shares-of-northrop-grumman-corporation-nysenoc/
NOC,Northrop Grumman,Golden State Wealth Management LLC Acquires 134 Shares of Northrop Grumman Corporation (NYSE:NOC),Positive,https://www.etfdailynews.com/2025/07/05/golden-state-wealth-management-llc-acquires-134-shares-of-northrop-grumman-corporation-nysenoc/
BA,Boeing,Golden State Wealth Management LLC Increases Position in The Boeing Company (NYSE:BA),Positive,https://www.etfdailynews.com/2025/07/05/golden-state-wealth-management-llc-increases-position-in-the-boeing-company-nyseba/
BA,Boeing,Golden State Wealth Management LLC Increases Position in The Boeing Company (NYSE:BA),Positive,https://www.etfdailynews.com/2025/07/05/golden-state-wealth-management-llc-increases-position-in-the-boeing-company-nyseba/
,,"Allspring Global Investments Holdings LLC Sells 48,198 Shares of Apollo Global Management Inc. (NYSE:APO)",Neutral,https://www.etfdailynews.com/2025/07/05/allspring-global-investments-holdings-llc-sells-48198-shares-of-apollo-global-management-inc-nyseapo/
,,Old Second Bancorp’s (OSBC) “Overweight” Rating Reiterated at Piper Sandler,Neutral,https://www.etfdailynews.com/2025/07/05/old-second-bancorps-osbc-overweight-rating-reiterated-at-piper-sandler/
,,Promising Blockchain Stocks To Follow Now – July 2nd,Neutral,https://www.etfdailynews.com/2025/07/05/promising-blockchain-stocks-to-follow-now-july-2nd/
,,Electric Vehicle Stocks To Research – July 2nd,Neutral,https://www.etfdailynews.com/2025/07/05/electric-vehicle-stocks-to-research-july-2nd/
,,Rocket Lab (NASDAQ:RKLB) Price Target Raised to $40.00,Neutral,https://www.etfdailynews.com/2025/07/05/rocket-lab-nasdaqrklb-price-target-raised-to-40-00/
,,Best Financial Stocks To Watch Now – July 2nd,Positive,https://www.etfdailynews.com/2025/07/05/best-financial-stocks-to-watch-now-july-2nd/
,,"Allspring Global Investments Holdings LLC Trims Position in Valmont Industries, Inc. (NYSE:VMI)",Neutral,https://www.etfdailynews.com/2025/07/05/allspring-global-investments-holdings-llc-trims-position-in-valmont-industries-inc-nysevmi/
,,"Allspring Global Investments Holdings LLC Has $7.44 Million Stake in E2open Parent Holdings, Inc. (NYSE:ETWO)",Neutral,https://www.etfdailynews.com/2025/07/05/allspring-global-investments-holdings-llc-has-7-44-million-stake-in-e2open-parent-holdings-inc-nyseetwo/
